seed,model,walks_per_node,lml,rmse,nlpd,beta,sigma_f,variance
1112,PoFM,,-342.62893529435473,15.055768668582488,98.4783170842924,2.04076378160721,1.4502171215671114,0.2436289524715115
1112,Diffusion,,-342.53454252676056,15.377331492922528,108.08537749165131,2.04076378160721,1.4502171215671114,0.2436289524715115
1112,GRF,1.0,-351.8432701031794,16.869932416789045,104.83317723478912,0.1119764988565487,1.05044882016995,7.635567936812309e-05
1112,GRF,2.0,-354.73434407279507,16.79397647880466,104.69865865358388,1.6562248186830666,0.0025582674926911,0.9999750564965028
1112,GRF,4.0,-354.7346364340345,16.793992425385394,104.698604404211,7.452411534841799,6.284420937971088e-06,1.0000002053889605
1112,GRF,8.0,-354.0571694242657,16.79762749881459,104.0066338482982,2.434137468871147,0.1737713399180717,0.9037886047949965
1112,GRF,16.0,-351.1790155989117,16.43298639347231,106.3713270168678,0.7932274626269956,0.9145853313049112,0.5229249027180175
1112,GRF,32.0,-347.58667847854764,16.4259895872298,106.39845446269648,0.6288233332031968,1.3009746700472742,1.6569442147146824e-06
1112,GRF,64.0,-346.8956985280559,16.074602787380893,110.19708229658195,0.721709656292818,1.323858757377816,1.7873604033063016e-06
1112,GRF,128.0,-350.6791555717356,16.127789274546853,101.83835297137333,0.8379412989442083,1.205943890386847,0.2416251875896095
1112,GRF,256.0,-347.07572692912805,16.11339803511281,105.78312154500752,1.061699524533853,1.3704693408146102,0.1374701694063805
1112,GRF,512.0,-344.08253519003614,15.622768313163366,103.02212691873513,1.7570794456912424,1.294527806369563,0.3765139519946475
1112,GRF,1024.0,-345.7655647643992,15.499816446895776,99.66999173203033,1.7984309084230687,1.3040949639735426,0.3797962980769713
1112,GRF,2048.0,-344.5279290808592,15.509627313906124,100.8819498876251,1.9216030569746505,1.350484546885972,0.334867788701044
1112,GRF,4096.0,-344.48359068589485,15.392271620661354,99.23365727236816,1.930545048381284,1.3708019892903962,0.3306270576303985
1112,GRF,8192.0,-342.97426723841653,15.145130873242556,98.71998171091272,2.021902078232425,1.426597280238976,0.2673227818378865
1112,A-GRF,1.0,-353.1478417428955,16.51438842011523,106.11889021574932,,,0.7716563771557928
1112,A-GRF,2.0,-353.7059713092316,16.696453578742396,104.40015060976766,,,0.7748066858098865
1112,A-GRF,4.0,-353.5209668119061,16.562747015137045,107.75845203437996,,,3.055989304342076e-05
1112,A-GRF,8.0,-353.6701142334806,16.700959377030507,104.95943507252488,,,0.0113847802559377
1112,A-GRF,16.0,-349.0602216861718,16.26302378329026,105.0344301533404,,,4.215235994873872e-06
1112,A-GRF,32.0,-350.6994886602603,16.117104746753164,103.1795477508468,,,0.5676992615272566
1112,A-GRF,64.0,-347.9653007615722,15.775191733480025,102.47149466954728,,,0.4052322353859865
1112,A-GRF,128.0,-346.8155944437522,15.50916389119231,99.73827747313648,,,0.3393775986149371
1112,A-GRF,256.0,-340.1754435331793,16.402590231099275,160.2300902202447,,,2.3566660733809386e-06
1112,A-GRF,512.0,-343.10965961057974,14.882850041547758,100.93967558411543,,,0.3791876353176893
1112,A-GRF,1024.0,-334.27020507813944,14.44327552081384,171.62116950994215,,,0.1017867507587863
1112,A-GRF,2048.0,-343.059277064114,14.97669493182002,101.88823629341084,,,0.0100813873594645
1112,A-GRF,4096.0,-336.254543542712,14.864353531673276,112.43522035235888,,,0.1349752957545582
1112,A-GRF,8192.0,-342.97867073564265,14.991788026356897,98.74566295909617,,,0.0101075159789472
