seed,model,walks_per_node,lml,rmse,nlpd,beta,sigma_f,variance
1111,PoFM,,-342.5482822527671,13.990883235081196,101.77886913400596,2.1852215707566343,1.4571311303605368,0.2038348580591161
1111,Diffusion,,-349.08321650501927,14.395480131728526,100.68403323896857,2.1852215707566343,1.4571311303605368,0.2038348580591161
1111,GRF,1.0,-352.08941149085604,16.388158107952286,102.08056097947848,0.4121169393024142,0.5961078928915692,0.7021859902630985
1111,GRF,2.0,-348.1430046287174,16.363693725921358,111.43222867430022,0.2351898581629206,1.1021181528382131,2.266792811225751e-06
1111,GRF,4.0,-354.00506371263407,16.306458216569787,101.83889469945947,0.4787694324346644,0.5830862706828424,0.7645362950340352
1111,GRF,8.0,-352.0007394905726,16.414266077002527,107.00503999124211,1.9625200306831183,0.3680911330326364,0.8213792623410336
1111,GRF,16.0,-351.8904689072636,16.02960421670936,103.08547534284364,0.7393764815397382,0.8751876821706215,0.5432131775092253
1111,GRF,32.0,-349.7287583226848,15.642482167154292,103.16253524140384,1.0608327303597456,1.033237990404038,0.4918428717484018
1111,GRF,64.0,-348.70700879363227,15.628742619379649,102.36084884958991,0.958052871653536,1.085904706680488,0.4009665804322964
1111,GRF,128.0,-351.2825776478518,15.772151595197224,98.52334165832696,1.11158597823673,1.0180568058002488,0.5263477135236091
1111,GRF,256.0,-349.4111289557149,15.494786119429374,98.76946423444936,1.2718885193894651,1.1367193760414542,0.4431242572411305
1111,GRF,512.0,-345.7454026768156,14.713313882939511,98.41089549127568,2.0093621513278923,1.2612189375969722,0.4250147697963974
1111,GRF,1024.0,-345.4320251074705,14.398678555186914,100.1164695022523,2.093903994577326,1.3537626641640057,0.3236404986469297
1111,GRF,2048.0,-344.24398756962,14.37553824727037,102.22441043738476,2.150996734406649,1.366054047436428,0.2941474638653376
1111,GRF,4096.0,-344.5916392708661,14.100346752175511,103.94452914569015,2.1480580840975407,1.4307069298605366,0.253767973662388
1111,GRF,8192.0,-344.078705393894,14.0555423215863,98.81537174926304,2.1595005091805985,1.3987959214508372,0.2715656650713583
1111,A-GRF,1.0,-351.98309702436853,16.201369615470274,109.51151396263766,,,0.6383400555655772
1111,A-GRF,2.0,-353.3594662782723,16.374109718360895,102.89464465732505,,,0.0101583173335826
1111,A-GRF,4.0,-354.324977802324,16.32274837945045,102.32667259492288,,,0.0101387004408671
1111,A-GRF,8.0,-351.4399663863215,15.909463602803203,103.90738640138628,,,0.6562320096029167
1111,A-GRF,16.0,-348.63942347854913,15.83880485728722,105.04429793030354,,,1.4266106593428749e-05
1111,A-GRF,32.0,-349.77795860060814,15.255981269080833,103.92406233367907,,,0.600149500635771
1111,A-GRF,64.0,-346.9185153548303,14.735977322560402,109.82847121981294,,,0.3031526554304167
1111,A-GRF,128.0,-350.742058169307,15.434145105708534,102.55550986514216,,,0.0094695182873333
1111,A-GRF,256.0,-342.20265096319764,13.917421034786315,105.93168124861248,,,0.2182739872378735
1111,A-GRF,512.0,-343.5859550743099,14.023157246706509,101.9144850599443,,,0.2388236035262783
1111,A-GRF,1024.0,-340.2000290413957,13.33695000584101,100.2721091081155,,,0.2626044229252184
1111,A-GRF,2048.0,-340.8421293786654,14.00272433098029,104.92770537261262,,,0.1564456421825242
1111,A-GRF,4096.0,-339.74297071736714,13.36092951859246,99.24121516014156,,,0.3283557593949995
1111,A-GRF,8192.0,-342.14961536694034,13.926090092647105,104.4059066340693,,,0.0100811956027433
