seed,model,walks_per_node,lml,rmse,nlpd,beta,sigma_f,variance
1111,PoFM,,-341.2189247148425,13.89390934138012,95.67395746232252,2.368512100493608,1.5358225818594693,0.085936255133797
1111,Diffusion,,-371.8527579668861,14.141976341129933,95.9948209245537,2.368512100493608,1.5358225818594695,0.0859362551337969
1111,GRF,1.0,-354.9772016341216,16.68851905780176,106.58458454097426,1.2853799865928592,0.3156216245802177,0.701457649567682
1111,GRF,2.0,-354.73322856915564,16.431928719443896,102.75354352535452,0.0001289843635773,0.9659933587473284,0.0670070420062994
1111,GRF,4.0,-354.7346218631019,16.43206856828046,102.75436202273404,1.2503844497167296e-06,0.9659570266566624,0.0669282346103962
1111,GRF,8.0,-354.09538517569115,16.291453756013087,102.679021204561,0.1541459272890004,1.0350632921065726,0.0670552434643314
1111,GRF,16.0,-352.1365295439347,16.033862226616407,100.6045622888532,0.3950305603157965,1.1538629304110786,0.0675707581937501
1111,GRF,32.0,-352.5375376017837,15.929939437507382,99.89953091748072,0.4605599342252296,1.1715651554835478,0.0683410254620669
1111,GRF,64.0,-351.98601211383067,15.990089877483504,100.67239851712884,0.4711244063338098,1.1794465020535445,0.0682461717968676
1111,GRF,128.0,-349.1733749682094,15.796507817947004,99.20583008090578,0.7244272927705006,1.2713293288086789,0.0700891585297504
1111,GRF,256.0,-350.6388924018813,15.729888221050944,99.52503054014264,0.704999760840674,1.278505310578435,0.0693439083895161
1111,GRF,512.0,-350.18378720568853,15.665328040178728,99.16222364778858,0.7484102587915646,1.2894912391905466,0.070758861798275
1111,GRF,1024.0,-345.01382878213684,14.16318438707042,97.29781536708822,2.173225024651852,1.5784483270443774,0.0853293178563297
1111,GRF,2048.0,-347.6856954389163,13.95182690117211,96.60167381033791,2.2516924139299945,1.5895778041934028,0.0865305398839542
1111,GRF,4096.0,-344.28791925062825,13.87337917744351,96.67282073765752,2.3239240051398538,1.5793963705941998,0.0801832336355363
1111,GRF,8192.0,-342.3650483813495,13.863228170726371,95.76155689591944,2.361260374999788,1.5608022629823557,0.0681921583090337
1111,A-GRF,1.0,-353.18612215204155,16.90601130307867,109.7159532193107,,,0.1972215156544585
1111,A-GRF,2.0,-347.9630892527855,16.383641004941392,104.61002970960072,,,0.0664418698679418
1111,A-GRF,4.0,-353.6129604122804,16.37154694366478,102.2001641017423,,,0.0669624458895889
1111,A-GRF,8.0,-350.96932368762134,16.3702720976976,106.521869862909,,,0.5799962276757864
1111,A-GRF,16.0,-352.5322454196554,14.685012594082949,97.58098455511109,,,0.4131314517281905
1111,A-GRF,32.0,-350.5569358984331,14.51758301215098,100.9984879257265,,,0.3162662846304779
1111,A-GRF,64.0,-347.6847369959383,14.590414983195844,102.15617752223191,,,0.2118307908329942
1111,A-GRF,128.0,-350.05342768658403,15.076812251832584,97.25347716690874,,,0.0677777404827344
1111,A-GRF,256.0,-346.76110934866074,14.532764684186732,97.294760164054,,,0.0667969977286641
1111,A-GRF,512.0,-335.4404379269501,14.089116467882116,93.62716270262436,,,0.0617603818809575
1111,A-GRF,1024.0,-336.77364591909014,14.063858321073049,95.17469677620544,,,0.06456243104455
1111,A-GRF,2048.0,-334.1940612841094,14.168144302481526,95.51405986055047,,,0.059925388490314
1111,A-GRF,4096.0,-336.27255303464807,14.006324532441097,92.9186978979939,,,0.0608105907059579
1111,A-GRF,8192.0,-334.230625092898,13.385986454629036,90.53658624597668,,,0.0587655131551451
